Test,Run,Clock Cycles 
1,1,157.75 
1,2,490.00 
1,3,207.75 
1,4,308.00 
1,5,300.25 
1,6,262.50 
1,7,138.25 
1,8,199.00 
1,9,257.00 
1,10,145.75 
1,11,148.75 
1,12,336.50 
1,13,442.50 
1,14,258.00 
1,15,169.00 
1,16,190.50 
1,17,359.00 
1,18,192.00 
1,19,295.25 
1,20,203.75 
1,21,168.50 
1,22,263.75 
1,23,233.50 
1,24,282.75 
1,25,207.25 
1,26,236.00 
1,27,557.00 
1,28,206.00 
1,29,195.75 
1,30,255.00 
1,31,241.00 
1,32,215.50 
1,33,304.50 
1,34,501.00 
1,35,222.00 
1,36,263.00 
1,37,215.00 
1,38,340.25 
1,39,289.50 
1,40,234.00 
1,41,393.75 
1,42,207.00 
1,43,257.50 
1,44,162.00 
1,45,171.25 
1,46,172.75 
1,47,383.50 
1,48,193.00 
1,49,196.75 
1,50,189.25 
1,51,354.75 
1,52,336.75 
1,53,317.25 
1,54,235.25 
1,55,167.75 
1,56,181.25 
1,57,165.50 
1,58,156.25 
1,59,234.00 
1,60,262.00 
1,61,175.75 
1,62,308.50 
1,63,212.00 
1,64,219.00 
1,65,220.00 
1,66,188.00 
1,67,193.25 
1,68,192.00 
1,69,230.50 
1,70,210.00 
1,71,189.50 
1,72,178.50 
1,73,200.75 
1,74,217.50 
1,75,178.00 
1,76,254.25 
1,77,164.25 
1,78,223.00 
1,79,176.75 
1,80,189.00 
1,81,238.75 
1,82,760.00 
1,83,183.50 
1,84,193.50 
1,85,219.00 
1,86,195.50 
1,87,368.75 
1,88,174.75 
1,89,197.50 
1,90,180.50 
1,91,299.50 
1,92,207.75 
1,93,192.75 
1,94,369.75 
1,95,869.50 
1,96,172.00 
1,97,217.75 
1,98,167.25 
1,99,184.25 
1,100,192.75 
2,1,28.88 
2,2,25.75 
2,3,28.38 
2,4,17.81 
2,5,24.00 
2,6,26.09 
2,7,18.59 
2,8,32.13 
2,9,20.66 
2,10,17.59 
2,11,18.00 
2,12,14.34 
2,13,16.56 
2,14,16.81 
2,15,64.69 
2,16,26.22 
2,17,18.94 
2,18,27.25 
2,19,22.28 
2,20,16.94 
2,21,16.91 
2,22,22.47 
2,23,84.59 
2,24,17.09 
2,25,13.81 
2,26,64.25 
2,27,18.03 
2,28,14.59 
2,29,17.06 
2,30,14.66 
2,31,17.66 
2,32,22.53 
2,33,21.91 
2,34,17.25 
2,35,20.72 
2,36,25.16 
2,37,22.66 
2,38,23.66 
2,39,15.47 
2,40,17.03 
2,41,22.13 
2,42,17.03 
2,43,50.38 
2,44,17.16 
2,45,16.50 
2,46,15.97 
2,47,30.28 
2,48,19.47 
2,49,14.44 
2,50,18.25 
2,51,16.66 
2,52,23.19 
2,53,28.84 
2,54,20.72 
2,55,23.13 
2,56,14.09 
2,57,16.72 
2,58,23.06 
2,59,16.69 
2,60,26.59 
2,61,16.94 
2,62,16.06 
2,63,15.03 
2,64,14.09 
2,65,16.78 
2,66,19.41 
2,67,16.78 
2,68,18.66 
2,69,15.75 
2,70,15.59 
2,71,16.31 
2,72,16.22 
2,73,16.06 
2,74,13.16 
2,75,18.38 
2,76,16.38 
2,77,23.16 
2,78,12.69 
2,79,16.06 
2,80,22.38 
2,81,16.50 
2,82,18.88 
2,83,16.13 
2,84,16.22 
2,85,20.69 
2,86,14.59 
2,87,17.69 
2,88,18.63 
2,89,23.34 
2,90,19.78 
2,91,17.25 
2,92,17.28 
2,93,37.28 
2,94,23.91 
2,95,19.13 
2,96,30.63 
2,97,22.75 
2,98,21.97 
2,99,18.69 
2,100,25.59 
3,1,11.07 
3,2,7.84 
3,3,9.23 
3,4,7.34 
3,5,6.73 
3,6,7.56 
3,7,18.79 
3,8,6.74 
3,9,6.83 
3,10,6.88 
3,11,15.67 
3,12,7.06 
3,13,7.33 
3,14,7.77 
3,15,7.13 
3,16,7.26 
3,17,6.61 
3,18,12.06 
3,19,7.24 
3,20,6.18 
3,21,7.02 
3,22,6.81 
3,23,7.25 
3,24,6.81 
3,25,6.43 
3,26,5.84 
3,27,7.05 
3,28,8.51 
3,29,12.45 
3,30,7.51 
3,31,7.46 
3,32,13.99 
3,33,6.81 
3,34,7.90 
3,35,7.47 
3,36,7.76 
3,37,9.71 
3,38,11.66 
3,39,18.19 
3,40,6.49 
3,41,7.36 
3,42,12.05 
3,43,6.76 
3,44,6.86 
3,45,7.07 
3,46,7.47 
3,47,7.17 
3,48,6.89 
3,49,7.16 
3,50,5.95 
3,51,6.28 
3,52,7.57 
3,53,8.05 
3,54,7.33 
3,55,8.03 
3,56,7.35 
3,57,6.63 
3,58,6.82 
3,59,6.46 
3,60,6.26 
3,61,6.48 
3,62,7.54 
3,63,6.88 
3,64,6.70 
3,65,6.43 
3,66,6.67 
3,67,10.40 
3,68,6.62 
3,69,6.91 
3,70,7.55 
3,71,6.71 
3,72,5.98 
3,73,7.87 
3,74,9.60 
3,75,6.97 
3,76,9.03 
3,77,6.45 
3,78,6.44 
3,79,6.29 
3,80,6.81 
3,81,7.13 
3,82,6.57 
3,83,7.19 
3,84,6.39 
3,85,6.34 
3,86,7.30 
3,87,7.30 
3,88,7.45 
3,89,6.35 
3,90,6.73 
3,91,6.65 
3,92,6.96 
3,93,6.54 
3,94,7.13 
3,95,6.68 
3,96,7.03 
3,97,6.76 
3,98,7.86 
3,99,6.54 
3,100,6.65 
4,1,5.39 
4,2,5.57 
4,3,5.33 
4,4,7.08 
4,5,5.92 
4,6,5.91 
4,7,5.89 
4,8,6.05 
4,9,5.36 
4,10,5.64 
4,11,6.42 
4,12,5.59 
4,13,5.76 
4,14,7.40 
4,15,5.46 
4,16,6.15 
4,17,5.18 
4,18,5.59 
4,19,5.26 
4,20,5.47 
4,21,5.95 
4,22,5.75 
4,23,5.21 
4,24,6.49 
4,25,5.45 
4,26,6.01 
4,27,5.24 
4,28,5.42 
4,29,5.83 
4,30,5.88 
4,31,5.95 
4,32,5.89 
4,33,5.76 
4,34,5.44 
4,35,5.19 
4,36,5.93 
4,37,5.62 
4,38,5.43 
4,39,5.52 
4,40,5.84 
4,41,6.11 
4,42,5.54 
4,43,5.81 
4,44,5.78 
4,45,5.56 
4,46,5.61 
4,47,5.47 
4,48,5.17 
4,49,5.98 
4,50,6.06 
4,51,5.61 
4,52,5.51 
4,53,5.93 
4,54,6.01 
4,55,5.95 
4,56,5.79 
4,57,7.42 
4,58,6.32 
4,59,6.41 
4,60,5.47 
4,61,6.25 
4,62,5.84 
4,63,5.45 
4,64,6.16 
4,65,5.44 
4,66,6.09 
4,67,5.86 
4,68,5.60 
4,69,5.42 
4,70,5.38 
4,71,6.64 
4,72,5.65 
4,73,6.19 
4,74,6.47 
4,75,5.59 
4,76,6.11 
4,77,8.54 
4,78,6.08 
4,79,5.39 
4,80,5.40 
4,81,6.67 
4,82,5.29 
4,83,5.82 
4,84,5.62 
4,85,5.80 
4,86,5.77 
4,87,5.35 
4,88,6.26 
4,89,5.66 
4,90,5.89 
4,91,5.50 
4,92,5.67 
4,93,6.79 
4,94,5.69 
4,95,6.15 
4,96,5.96 
4,97,5.48 
4,98,5.53 
4,99,5.26 
4,100,5.43 
5,1,6.25 
5,2,5.37 
5,3,5.52 
5,4,5.46 
5,5,5.37 
5,6,5.96 
5,7,5.20 
5,8,5.32 
5,9,5.37 
5,10,20.44 
5,11,5.56 
5,12,5.17 
5,13,5.64 
5,14,6.02 
5,15,4.89 
5,16,5.54 
5,17,5.19 
5,18,5.76 
5,19,5.17 
5,20,6.19 
5,21,5.17 
5,22,5.02 
5,23,5.84 
5,24,5.02 
5,25,5.82 
5,26,5.64 
5,27,5.35 
5,28,5.97 
5,29,5.78 
5,30,5.56 
5,31,5.23 
5,32,5.19 
5,33,6.98 
5,34,5.37 
5,35,5.36 
5,36,5.57 
5,37,5.19 
5,38,5.51 
5,39,5.54 
5,40,5.56 
5,41,4.64 
5,42,5.60 
5,43,5.19 
5,44,5.35 
5,45,5.88 
5,46,5.66 
5,47,4.87 
5,48,5.58 
5,49,5.37 
5,50,5.95 
5,51,6.20 
5,52,5.45 
5,53,5.46 
5,54,5.69 
5,55,6.02 
5,56,5.35 
5,57,7.66 
5,58,6.20 
5,59,5.04 
5,60,5.76 
5,61,5.15 
5,62,5.51 
5,63,5.43 
5,64,31.97 
5,65,5.79 
5,66,6.00 
5,67,5.76 
5,68,5.18 
5,69,5.92 
5,70,5.92 
5,71,5.22 
5,72,4.85 
5,73,3.88 
5,74,5.54 
5,75,4.59 
5,76,5.49 
5,77,3.42 
5,78,3.45 
5,79,4.45 
5,80,7.67 
5,81,3.84 
5,82,4.44 
5,83,9.53 
5,84,6.40 
5,85,5.24 
5,86,3.43 
5,87,6.63 
5,88,3.47 
5,89,5.77 
5,90,6.46 
5,91,5.17 
5,92,6.98 
5,93,4.76 
5,94,4.46 
5,95,4.66 
5,96,4.43 
5,97,4.87 
5,98,4.74 
5,99,5.21 
5,100,3.43 
